ticker,volatility_annualized,max_drawdown,total_return,name,sector,index_group,as_of_date,positive,rank_in_index
LEG.DE,0.3192198023425552,-0.2486745730761154,-0.07025561083668297,LEG Immobilien,Real Estate,MDAX,2026-06-30,False,32
HAG.DE,0.5580313445321331,-0.3027475057381809,-0.07384321184513565,Hensoldt,Defence,MDAX,2026-06-30,False,33
SRT3.DE,0.43324519311856174,-0.22500553471588491,-0.09113471847524623,Sartorius,Biotech,MDAX,2026-06-30,False,34
AT1.DE,0.46683882721383974,-0.2873938776416227,-0.10589779048892267,Aroundtown,Real Estate,MDAX,2026-06-30,False,35
LXS.DE,0.638442303999826,-0.4601483187750469,-0.11352352024966217,Lanxess,Chemicals,MDAX,2026-06-30,False,36
UTDI.DE,0.3657885371134192,-0.19613497237287414,-0.12282515629795865,United Internet,Telecommunication,MDAX,2026-06-30,False,37
FNTN.DE,0.3125788621493435,-0.24992424946542113,-0.13897237223245607,Freenet,Telecommunication,MDAX,2026-06-30,False,38
HLE.DE,0.16778960247642807,-0.19316839257531326,-0.14144080374895096,Hella,Automotive,MDAX,2026-06-30,False,39
AG1.DE,0.7021652563143266,-0.5225195689989607,-0.1516483335291915,Auto1 Group,E-Commerce,MDAX,2026-06-30,False,40
KRN.DE,0.28078659710657333,-0.21767589852182423,-0.16491114333718138,Krones,Manufacturing,MDAX,2026-06-30,False,41
TUI1.DE,0.4307347278628582,-0.3334650140402684,-0.1795511936787184,TUI,Tourism,MDAX,2026-06-30,False,42
R3NK.DE,0.543684565469686,-0.3752592407663433,-0.19317291678961557,Renk Group,Defence,MDAX,2026-06-30,False,43
AMV0.DE,0.4344594539094819,-0.28454932952191037,-0.20819745953946667,Aumovio,Automotive Technology,MDAX,2026-06-30,False,44
GBF.DE,0.39616843629038584,-0.3727263835591059,-0.222711409073042,Bilfinger,Industrial Services,MDAX,2026-06-30,False,45
BC8.DE,0.41773125776153147,-0.4270462644260674,-0.2689805555977357,Bechtle,IT Services,MDAX,2026-06-30,False,46
PAH3.DE,0.22590778302634476,-0.2902104953060265,-0.2802535631071539,Porsche SE,Automotive,MDAX,2026-06-30,False,47
EVD.DE,0.4871493656326324,-0.3892634386787388,-0.3414256407413887,CTS Eventim,Leisure & Events,MDAX,2026-06-30,False,48
NEM.DE,0.49028105055314186,-0.43310724533295686,-0.3982550402603434,Nemetschek,Software,MDAX,2026-06-30,False,49
KGX.DE,0.46792191040123815,-0.47903976571827545,-0.43761613891540896,KION Group,Industrials,MDAX,2026-06-30,False,50
